word,pos,primary_definition_en,primary_definition_ko,mw_definition_number,sat_meaning_en,sat_meaning_ko,skills,difficulties,occurrence_count
"art","noun","the conscious use of skill and creative imagination especially in the production of aesthetic objects","미적 객체의 생산에서 기술과 창의적 상상력의 의식적인 사용",2,"a skill acquired by experience, study, or observation","경험, 연구 또는 관찰을 통해 습득한 기술","Boundaries | Cross-Text Connections","Hard | Medium",2
"ascend","verb","to move upward","위로 이동하다",2,"to take on or assume (a position or role)","(지위나 역할을) 맡다","Form, Structure, and Sense","Medium",1
"ascribe","verb","to credit or assign, as to a cause or source","원인이나 출처로서 신용하거나 할당하다",2,"to attribute something to a particular source or cause","특정 출처나 원인에 어떤 것을 귀속시키다","Inferences","Hard",1
"assemble","verb","to put or bring together","모으다 또는 함께 가져오다",2,"to fit together the parts of something","무언가의 부품을 맞추다","Form, Structure, and Sense","Hard",1
"assert","verb","to state or express firmly","확고히 말하다 또는 표현하다",2,"to state a claim or right","주장이나 권리를 주장하다","Words in Context","Hard",1
"assess","verb","to determine the importance, size, or value of something","무언가의 중요성, 크기 또는 가치를 결정하다",2,"to evaluate or estimate the nature, ability, or quality of something","무언가의 본질, 능력 또는 품질을 평가하거나 추정하다","Words in Context","Hard",1
"associated","verb","to connect (someone or something) with something else","(누군가 또는 무언가를) 다른 것과 연결하다",2,"to have a connection or relationship with something","무언가와 연결되거나 관계가 있다","Central Ideas and Details","Medium",1
"assume","verb","to take for granted or without proof","증명 없이 당연하게 여기다",2,"to suppose something is true without evidence","증거 없이 어떤 것이 사실이라고 가정하다","Words in Context | Transitions | Central Ideas and Details","Hard",3
"assumed","verb","to take for granted or without proof","증명 없이 당연하게 여기다",2,"to suppose to be the case, without proof","증명 없이 사실이라고 가정하다","Transitions | Command of Evidence","Medium",2
"attach","verb","to fasten or join one thing to another","하나의 것을 다른 것에 고정하거나 결합하다",2,"to connect or join (as in a device or equipment)","장치나 장비를 연결하거나 결합하다","Transitions | Form, Structure, and Sense","Easy",2
"attest","verb","to affirm to be true or genuine","진실하거나 진품이라고 확인하다",2,"to provide or serve as clear evidence","명확한 증거를 제공하거나 역할을 하다","Boundaries","Medium",1
"attract","verb","to draw by appeal to natural or excited interest, emotion, or aesthetic sense","자연적이거나 흥미, 감정, 미적 감각에 대한 호소로 끌어당기다",2,"to draw or pull towards oneself","자신 쪽으로 끌어당기다","Command of Evidence","Medium",1
"attracted","verb","to cause (someone) to have a liking for or interest in something","(누군가가) 무언가에 대한 호감이나 관심을 갖게 하다",2,"to draw or pull toward oneself","자신 쪽으로 끌어당기다","Command of Evidence","Hard",1
"attribute","verb","to regard as resulting from a specified cause","특정 원인으로 발생한 것으로 간주하다",2,"to assign or credit to a source","출처에 할당하거나 신용을 주다","Words in Context","Hard",1
"attributed","verb","to regard as resulting from a specified cause","특정 원인에서 발생한 것으로 간주하다",2,"to explain or assign a cause or reason to something","무언가에 원인이나 이유를 설명하거나 할당하다","Inferences","Medium",1
"audience","noun","the people who watch or listen to a performance","공연을 보거나 듣는 사람들",2,"a group of people who are present at a performance","공연에 참석한 사람들","Boundaries","Hard",1
"averse","adjective","having a strong dislike or opposition to something","무언가에 대한 강한 반감이나 반대를 가진",2,"having a strong feeling of opposition or distaste","반대나 혐오의 강한 감정을 가진","Central Ideas and Details","Hard",1
"back","noun","the rear surface of the human body","인체의 뒷면",2,"the part of something that is opposite the front","무언가의 앞쪽과 반대편에 있는 부분","Form, Structure, and Sense","Hard",1
"backup","noun","a person or thing that can be called on to help or replace another","도움이나 대체로 호출할 수 있는 사람 또는 사물",2,"a situation in which a large number of vehicles are unable to move forward","차량이 앞으로 나아갈 수 없는 상황","Command of Evidence","Hard",1
"bank","noun","the land alongside a body of water","수역 옆의 땅",2,"a place where something is stored or kept","무언가가 저장되거나 보관되는 장소","Text Structure and Purpose","Easy",1
"basic","adjective","forming an essential foundation or starting point; fundamental","기본적인 기초 또는 출발점을 형성하는; 근본적인",2,"simple or uncomplicated in design or function","디자인이나 기능이 단순하거나 복잡하지 않은","Inferences","Easy",1
"bathe","verb","to wash or clean (someone or something) in water","물로 (누군가 또는 무언가를) 씻거나 청소하다",2,"to cover or envelop in a particular quality or atmosphere","특정한 품질이나 분위기로 덮거나 감싸다","Form, Structure, and Sense","Easy",1
"be","verb","to exist in a specified state or condition","특정 상태나 조건에 존재하다",2,"to have a role or function","역할이나 기능을 가지다","Form, Structure, and Sense","Easy | Hard",3
"bear","verb","to carry or support","지탱하다 또는 지니다",2,"to produce or yield","생산하다 또는 산출하다","Form, Structure, and Sense","Easy",1
"beautify","verb","to make beautiful","아름답게 하다",2,"to enhance the appearance of","외관을 향상시키다","Boundaries","Easy",1
"because","conjunction","for the reason that","그 이유로",2,"for the reason that; used to introduce a clause that explains why something is the case","무언가가 사실인 이유를 설명하는 절을 도입하는 데 사용","Transitions","Easy",1
"become","verb","to come into existence","존재하게 되다",2,"to be regarded or considered as","~로 여겨지다","Form, Structure, and Sense","Easy",1
"believe","verb","to accept something as true","무언가를 사실로 받아들이다",2,"to hold as an opinion","의견으로 간주하다","Form, Structure, and Sense","Easy",1
"belong","verb","to be the property of","~의 소유이다",2,"to be a member of or associated with","~의 일원이다 또는 관련이 있다","Central Ideas and Details","Medium",1
"beneficial","adjective","producing good results or helpful effects","좋은 결과나 유익한 효과를 내는",2,"producing a favorable effect or result","유리한 효과나 결과를 내는","Command of Evidence","Hard",1
"benefit","verb","to gain or receive good results from something","무언가로부터 좋은 결과를 얻다",2,"to receive an advantage or profit from something","무언가로부터 이익이나 혜택을 받다","Command of Evidence","Easy",1
"better","adjective","of superior quality","우수한 품질의",2,"more advantageous or effective","더 유리하거나 효과적인","Boundaries","Medium",1
"biennial","adjective","occurring every two years","2년마다 발생하는",2,"occurring every two years","2년마다 발생하는","Rhetorical Synthesis","Medium",1
"binding","verb","to tie or fasten something tightly","무언가를 단단히 묶거나 고정하다",2,"to wrap or encase something in a material","무언가를 재료로 감싸거나 포장하다","Form, Structure, and Sense","Medium",1
"blend","verb","to mix or combine (different elements)","(다른 요소들을) 섞거나 결합하다",2,"to combine different elements in a way that creates a harmonious effect","조화로운 효과를 만들어내는 방식으로 다양한 요소를 결합하다","Command of Evidence","Medium",1
"blur","verb","to make indistinct or dim","흐리게 하다",2,"to obscure or confuse the boundaries of something","무언가의 경계를 모호하게 하다","Words in Context","Medium",1
"blurs","verb","to make indistinct or dim","희미하게 하다",2,"to obscure or make less clear","모호하게 하다","Transitions","Medium",1
"board","noun","a flat, thin, rectangular piece of material","평평하고 얇은 직사각형의 재료 조각",2,"a flat surface used for playing a game","게임을 하는 데 사용되는 평평한 표면","Command of Evidence","Hard",1
"bond","verb","to join or attach","결합하다",2,"to form a close relationship","밀접한 관계를 형성하다","Transitions","Easy",1
"boundaries","noun","the limits of a subject or sphere of activity","주제나 활동 범위의 한계",2,"a dividing line or location separating two areas","두 지역을 구분하는 경계선 또는 위치","Boundaries","Medium",2
"boundary","noun","a line that marks the limits of an area","지역의 경계를 표시하는 선",2,"a limit or point beyond which something does not extend","무언가가 더 이상 확장되지 않는 한계 또는 지점","Boundaries","Easy",1
"broad","adjective","having a large distance from side to side","옆으로 넓은 거리",2,"having a wide range or scope","넓은 범위 또는 범주를 가지다","Central Ideas and Details","Medium",1
"builds","verb","to construct (something) by putting parts or material together","(무언가를) 부품이나 재료를 조립하여 만들다",3,"to develop or establish (something)","(무언가를) 발전시키거나 세우다","Transitions","Easy",1
"burial","noun","the act of placing a dead body in the ground","시신을 땅에 묻는 행위",2,"the act of placing something in a grave or tomb","무덤이나 묘지에 무언가를 두는 행위","Transitions","Medium",1
"burning","verb","to consume fuel and give off heat, light, or gases","연료를 소모하고 열, 빛 또는 가스를 방출하다",3,"to cause to undergo combustion","연소를 겪게 하다","Command of Evidence","Easy",1
"but","conjunction","used to introduce a phrase or clause contrasting with what has already been mentioned","이미 언급된 내용과 대조되는 구 또는 절을 도입하는 데 사용",2,"used to introduce a statement that contrasts with or seems to contradict something that has been said previously","이전에 언급된 것과 대조되거나 모순되는 것처럼 보이는 진술을 도입하는 데 사용","Transitions","Easy",2
"buttress","noun","a structure built against a wall to support or reinforce it","벽을 지지하거나 보강하기 위해 벽에 세운 구조물",2,"a source of support or encouragement","지원이나 격려의 원천","Transitions","Easy",1
"calculate","verb","to determine the amount or number of something mathematically","수학적으로 무언가의 양이나 수를 결정하다",2,"to estimate or determine something based on analysis or reasoning","분석이나 추론을 바탕으로 무언가를 추정하거나 결정하다","Command of Evidence","Hard",1
"call","verb","to cry out or shout","외치다",2,"to communicate or signal to someone","누군가에게 의사소통하거나 신호를 보내다","Rhetorical Synthesis","Medium",1
"canvas","noun","a strong, heavy cloth used for making tents, sails, or paintings","텐트, 돛, 또는 그림을 만들기 위해 사용되는 강하고 무거운 천",2,"a surface for artistic work","예술 작업을 위한 표면","Transitions","Medium",1
"capacious","adjective","able to hold much : spacious","많은 것을 담을 수 있는 : 넓은",2,"having a lot of space or capacity","많은 공간이나 용량이 있는","Central Ideas and Details","Hard",1
"capitalize","verb","to take advantage of","이용하다",2,"to gain a financial advantage from","재정적 이익을 얻다","Command of Evidence","Hard",1
"captive","adjective","held as a prisoner or confined","포로로 잡혀 있거나 제한된",2,"bred in a controlled environment, not in the wild","자연에서가 아니라 통제된 환경에서 번식된","Command of Evidence","Medium",1
"capture","verb","to take possession or control of something","무언가를 소유하거나 통제하다",2,"to attract and hold the attention of","관심을 끌고 유지하다","Rhetorical Synthesis | Form, Structure, and Sense","Hard | Medium",2
"carry","verb","to move something from one place to another","무언가를 한 장소에서 다른 장소로 옮기다",2,"to support or hold up","지탱하거나 받치다","Rhetorical Synthesis","Easy",1
"cartographer","noun","a person who makes maps","지도를 만드는 사람",2,"a person who creates detailed representations of geographical areas","지리적 지역의 상세한 표현을 만드는 사람","Boundaries","Hard",1
"carve","verb","to cut (something) into a desired shape","원하는 모양으로 (무언가를) 자르다",3,"to create or produce (a sculpture) by cutting","자르기 통해 (조각품을) 만들다","Cross-Text Connections","Easy",1
"carved","verb","to cut (a hard material) into a desired shape","단단한 재료를 원하는 모양으로 자르다",2,"to create or produce (something) by cutting or shaping","자르거나 형태를 만들어 (무언가를) 창조하거나 생산하다","Central Ideas and Details","Medium",1
"case","noun","a container for holding something","무언가를 담는 용기",2,"the body or structure of a musical instrument","악기의 본체 또는 구조","Boundaries","Easy",1
"cast","verb","to throw something","무언가를 던지다",2,"to cause to move in a specified direction","특정 방향으로 움직이게 하다","Text Structure and Purpose","Hard",1
"catalyst","noun","a substance that increases the rate of a chemical reaction without itself undergoing any permanent chemical change","화학 반응의 속도를 증가시키는 물질로, 영구적인 화학 변화를 겪지 않음",2,"something that causes activity between two or more persons or forces without itself being affected","자신이 영향을 받지 않으면서 두 개 이상의 사람이나 힘 사이의 활동을 유발하는 것","Rhetorical Synthesis","Medium",1
"cause","verb","to make happen","발생하게 하다",2,"to bring about or produce (a result)","(결과를) 초래하다 또는 발생시키다","Form, Structure, and Sense","Medium",1
"cell","noun","a small room in which a prisoner is locked up or in which a monk or nun sleeps","죄수가 갇히거나 수도사나 수녀가 자는 작은 방",2,"a structural and functional unit of an organism","유기체의 구조적 및 기능적 단위","Boundaries","Hard",1
"chain","noun","a series of linked or connected items","연결된 항목의 시리즈",2,"a sequence of interconnected elements or processes","상호 연결된 요소 또는 프로세스의 시퀀스","Rhetorical Synthesis","Hard",1
"chamber","noun","a room used primarily for sleeping","주로 수면에 사용되는 방",2,"a space for storing or containing something, often used in a broader context","무언가를 저장하거나 포함하는 공간, 종종 더 넓은 맥락에서 사용됨","Boundaries","Hard",1
"chaotic","adjective","completely confused or disordered","완전히 혼란스럽거나 무질서한",2,"marked by confusion or disorder","혼란이나 무질서로 특징지어지는","Words in Context","Medium",1
"characterize","verb","to describe the distinctive nature or features of","특징을 설명하다",2,"to define or classify in a specific way","특정한 방식으로 정의하거나 분류하다","Cross-Text Connections","Medium",1
"charge","noun","the amount of electricity held in a battery or other device","배터리나 다른 장치에 저장된 전기의 양",2,"an electrical property of matter that causes it to experience a force when placed in an electromagnetic field","전자기장에 놓였을 때 힘을 경험하게 하는 물질의 전기적 성질","Central Ideas and Details","Hard",1
"chemical","adjective","of or relating to chemistry or the interactions of substances as studied in chemistry","화학 또는 화학에서 연구되는 물질의 상호작용과 관련된",2,"having the properties of a substance","물질의 성질을 가진","Boundaries","Hard",1
"choose","verb","to select freely and after consideration","자유롭게 선택하다",2,"to make a decision about something","무언가에 대한 결정을 내리다","Boundaries","Hard",1
"civil","adjective","of or relating to citizens","시민의 또는 시민과 관련된",2,"polite and respectful in behavior","행동에서 공손하고 존중하는","Text Structure and Purpose","Medium",1
"claim","noun","a statement that something is true, typically without providing evidence or proof","주장, 진술",2,"a demand for something as due or believed to be due","당연히 요구되거나 요구된 것으로 여겨지는 것에 대한 요구","Words in Context | Command of Evidence","Hard",2
"clan","noun","a group of close-knit and interrelated families","밀접하게 연결된 가족 그룹",2,"a group of people united by a common interest or characteristic","공통의 관심사나 특성으로 결합된 사람들 그룹","Form, Structure, and Sense","Easy",1
"cleanliness","noun","the quality or state of being clean","깨끗한 상태 또는 품질",2,"the practice of maintaining hygiene and sanitation","위생과 청결을 유지하는 행위","Text Structure and Purpose","Medium",1
"cleave","verb","to split or sever (something)","(무언가를) 쪼개다 또는 나누다",2,"to cut or separate (especially in a biological context)","(특히 생물학적 맥락에서) 자르거나 분리하다","Form, Structure, and Sense","Hard",1
"cleft","noun","a space or opening made by splitting","갈라짐으로 만들어진 공간 또는 구멍",2,"a split or indentation","갈라짐 또는 움푹 들어간 부분","Text Structure and Purpose","Medium",1
"clone","verb","to make a copy of","복사하다",2,"to reproduce asexually","무성 생식으로 재생산하다","Boundaries","Easy",1
"club","noun","a group of people who meet for a common purpose","공통의 목적을 위해 모이는 사람들의 그룹",2,"a facility or establishment for social or recreational activities","사회적 또는 오락 활동을 위한 시설 또는 기관","Boundaries","Easy",1
"clutter","verb","to fill or cover with scattered or disordered things","어지럽히다",2,"to fill with things in a disorderly manner","어지럽게 채우다","Text Structure and Purpose","Medium",1
"coastal","adjective","of or relating to the coast","해안의",2,"of or relating to the region near the shore","해안 근처 지역과 관련된","Rhetorical Synthesis","Hard",1
"cohesive","adjective","tending to stick together","서로 붙으려는 경향이 있는",2,"forming a united whole","하나의 통합된 전체를 형성하는","Rhetorical Synthesis","Hard",1
"coincidence","noun","a situation in which events happen at the same time in a way that is not planned or expected","우연히 발생한 사건",2,"a remarkable concurrence of events or circumstances without apparent causal connection","명백한 인과 관계 없이 사건이나 상황의 주목할 만한 일치","Transitions","Hard",1
"collect","verb","to bring together into one group","하나의 그룹으로 모으다",3,"to accumulate or gather over time","시간이 지남에 따라 축적되거나 모이다","Boundaries | Form, Structure, and Sense","Medium",2
"collecting","verb","to bring together into one group","하나의 그룹으로 모으다",2,"to gather or accumulate (in this context, fees)","(이 문맥에서, 수수료를) 모으다","Transitions","Easy",1
"collective","noun","a cooperative enterprise","협동 기업",2,"a group of individuals acting together for a common purpose","공통의 목적을 위해 함께 행동하는 개인의 집단","Command of Evidence","Hard",1
"colonized","verb","to establish a colony in","식민지를 세우다",2,"to settle among and establish control over the indigenous people of an area","해당 지역의 원주민 위에 정착하고 통제권을 확립하다","Inferences","Medium",1
"come","verb","to move toward something","어떤 것 쪽으로 이동하다",2,"to originate or derive from","유래하다 또는 파생되다","Form, Structure, and Sense","Easy",1
"comfortable","adjective","feeling physically relaxed and free from pain","신체적으로 편안하고 통증이 없는 느낌",3,"providing physical ease and relaxation","신체적 편안함과 이완을 제공하는","Inferences","Medium",1
"common","adjective","occurring or appearing frequently","자주 발생하는",2,"widespread or prevalent","널리 퍼져 있는","Words in Context | Inferences | Cross-Text Connections","Medium | Hard",4
"complementarily","adverb","in a way that completes something","무언가를 완성하는 방식으로",2,"in a way that enhances or improves something by working well with it","잘 어울려서 무언가를 향상시키거나 개선하는 방식으로","Form, Structure, and Sense","Medium",1
"complete","adjective","having all necessary parts; whole","모든 필요한 부분이 있는; 전체",2,"having all necessary information or details; thorough","모든 필요한 정보나 세부사항이 있는; 철저한","Words in Context","Hard",1
"completely","adverb","totally; utterly","완전히; 철저히",2,"to an absolute degree; not at all","절대적인 정도로; 전혀","Words in Context","Medium",1
"complexity","noun","the quality of being intricate or complicated","복잡하거나 복잡한 특성",2,"the state of being made up of many interconnected parts","많은 상호 연결된 부분으로 구성된 상태","Text Structure and Purpose | Form, Structure, and Sense","Medium",2
"compose","verb","to make or form by combining things, parts, or elements","사물, 부분 또는 요소를 결합하여 만들거나 형성하다",2,"to constitute or make up","구성하다 또는 이루다","Command of Evidence","Hard",1
"composed","adjective","made up of","구성된",2,"having a calm and self-controlled manner","차분하고 자기 통제된 태도를 가진","Form, Structure, and Sense","Medium",1
"compound","noun","a substance formed by the chemical combination of two or more elements","두 개 이상의 원소가 화학적으로 결합하여 형성된 물질",2,"a thing that is composed of two or more separate elements; a mixture","두 개 이상의 개별 요소로 구성된 것; 혼합물","Boundaries","Easy",1
"compress","verb","to press together","압축하다",2,"to reduce in size or volume","크기나 부피를 줄이다","Command of Evidence","Hard",1
"compromise","verb","to settle a dispute by mutual concession","상호 양보로 분쟁을 해결하다",2,"to weaken or damage (one's principles or integrity)","(원칙이나 정체성을) 약화시키거나 손상시키다","Words in Context","Hard",1
"concentrated","adjective","having a high concentration of a substance","물질의 농도가 높은",2,"gathered together or made denser","모여 있거나 더 밀집된","Command of Evidence","Hard",1
"concern","noun","a feeling of worry or anxiety","걱정이나 불안의 감정",2,"a matter of interest or importance to someone","누군가에게 관심이나 중요성이 있는 문제","Command of Evidence","Hard",1
"concise","adjective","expressing or covering much matter in few words","간결한",2,"brief and to the point; using few words","간결하고 요점을 잘 전달하는; 적은 단어 사용","Transitions","Easy",1
"condone","verb","to overlook or forgive (an offense)","(범죄 등을) 용납하다, 용서하다",2,"to accept and allow (behavior that is considered morally wrong or offensive) to continue","(도덕적으로 잘못되거나 불쾌한) 행동을 계속하도록 받아들이고 허용하다","Words in Context","Medium",1
"conduct","verb","to lead or guide","인도하다",2,"to carry out or perform (a study)","(연구를) 수행하다","Form, Structure, and Sense | Transitions | Inferences","Easy | Hard | Medium",3
"conducting","verb","to lead or guide (a group)","(그룹을) 이끌다 또는 안내하다",2,"to direct the performance of (a musical group)","(음악 그룹의) 연주를 지휘하다","Central Ideas and Details","Medium",1
"confined","verb","to keep within limits","한계를 두다",2,"to restrict or limit in space or scope","공간이나 범위를 제한하다","Form, Structure, and Sense","Hard",1
"conscious","adjective","aware of and responding to one's surroundings; awake.","주변을 인식하고 반응하는; 깨어 있는.",2,"having knowledge of something; aware of something within oneself.","무언가에 대한 지식이 있는; 자신 안의 무언가를 인식하는.","Central Ideas and Details","Easy",1
"consensus","noun","general agreement","일반적인 동의",2,"a collective opinion or decision reached by a group","집단에 의해 도달한 집합적인 의견 또는 결정","Words in Context","Medium",1
"consequential","adjective","having significant consequences; important","중대한 결과가 있는; 중요한",2,"having far-reaching effects; significant in its implications","광범위한 영향을 미치는; 그 의미에서 중요하다","Inferences","Hard",1
"consider","verb","to think about carefully","신중하게 생각하다",2,"to regard or think of in a specified way","특정한 방식으로 간주하거나 생각하다","Form, Structure, and Sense","Easy",1
"considerable","adjective","large in size, amount, or degree","크기, 양 또는 정도가 큰",2,"worthy of attention; significant","주목할 가치가 있는; 중요한","Command of Evidence","Medium",1
"considered","verb","to think of (someone or something) in a specified way","(누군가 또는 무언가를) 특정한 방식으로 생각하다",2,"regarded as","간주된","Transitions","Hard | Medium",2
"conspicuous","adjective","easily seen or noticed","쉽게 보이거나 눈에 띄는",2,"attracting attention due to being unusual or different","특이하거나 다르기 때문에 주목을 끌다","Inferences","Hard",1
"constitute","verb","to make up or form something","무언가를 구성하거나 형성하다",2,"to be a part of a whole","전체의 일부가 되다","Inferences","Hard",1
"consume","verb","to use up (a resource)","자원(소비)을 다 쓰다",2,"to eat or drink (something)","(무언가를) 먹거나 마시다","Command of Evidence","Hard",1
"contact","noun","the state or condition of physical touching","물리적 접촉의 상태 또는 조건",2,"the state of being in communication or interaction","소통 또는 상호작용의 상태","Form, Structure, and Sense","Medium",1
"contain","verb","to hold or have within","포함하다",2,"to include or comprise","포함하다","Form, Structure, and Sense","Easy",1
"contract","verb","to become smaller or narrower","작아지다 또는 좁아지다",2,"to decrease in size or amount","크기나 양이 줄어들다","Inferences | Form, Structure, and Sense","Hard | Medium",2
"contracted","verb","to enter into a formal agreement; to become smaller","계약을 맺다; 수축하다",3,"to acquire or come down with (a disease or habit)","(습관·병 등을) 얻다, 습득하다","Words in Context","Hard",1
